Date,Value,
18.04.2015,207.5100,
17.04.2015,208.8400,
16.04.2015,212.3100,
15.04.2015,208.4600,
14.04.2015,208.1500,
13.04.2015,221.1900,
12.04.2015,224.1900,
11.04.2015,223.7000,
10.04.2015,225.5500,
09.04.2015,229.6100,
08.04.2015,232.2700,
07.04.2015,236.1100,
06.04.2015,236.4900,
05.04.2015,233.7500,
04.04.2015,232.5500,
03.04.2015,232.5700,
02.04.2015,229.3400,
01.04.2015,227.4100,
31.03.2015,229.7500,
30.03.2015,227.2200,
29.03.2015,226.3100,
28.03.2015,232.0000,
27.03.2015,228.4400,
26.03.2015,229.9200,
25.03.2015,224.1300,
24.03.2015,235.8000,
23.03.2015,245.0400,
22.03.2015,242.6000,
21.03.2015,241.4100,
20.03.2015,242.6900,
19.03.2015,242.0500,
18.03.2015,253.9800,
17.03.2015,274.4400,
16.03.2015,276.2100,
15.03.2015,271.7900,
14.03.2015,270.7100,
13.03.2015,277.9000,
12.03.2015,278.1800,
11.03.2015,278.8200,
10.03.2015,275.2000,
09.03.2015,260.3100,
08.03.2015,254.8800,
07.03.2015,252.8900,
06.03.2015,252.2600,
05.03.2015,246.2100,
04.03.2015,252.2700,
03.03.2015,246.7600,
02.03.2015,235.0100,
01.03.2015,226.1200,
28.02.2015,226.4300,
27.02.2015,223.8300,
26.02.2015,212.3200,
25.02.2015,210.5500,
24.02.2015,211.6200,
23.02.2015,209.2200,
22.02.2015,213.1100,
21.02.2015,215.8100,
20.02.2015,214.2600,
19.02.2015,210.1600,
18.02.2015,210.8800,
17.02.2015,209.6700,
16.02.2015,206.7700,
15.02.2015,219.5100,
14.02.2015,216.1800,
13.02.2015,203.9600,
12.02.2015,194.1200,
11.02.2015,195.9800,
10.02.2015,194.0400,
09.02.2015,195.7500,
08.02.2015,199.5900,
07.02.2015,200.4400,
06.02.2015,195.1500,
05.02.2015,194.7400,
04.02.2015,199.6600,
03.02.2015,206.9600,
02.02.2015,200.6800,
01.02.2015,193.7000,
31.01.2015,202.4700,
30.01.2015,206.3200,
29.01.2015,205.5100,
